libelle;text;forme;compte
GLUCAGEN 1 mg Pdre/prép.inj.1mg/1ml Fl+s/1ml (F);GLUCAGEN 1 mg Pdre/prép.inj.1mg/1ml Fl+s/1ml (F);injection;7
GLUCAGEN HYPOKIT 1mg Pdre.P.Prép.Inj. Fl +Ser/1ml;GLUCAGEN HYPOKIT 1mg Pdre.P.Prép.Inj. Fl +Ser/1ml;injection;7
GLUCANTIME 1,500gr Sol.Inj. Bt 5Amp/5ml;GLUCANTIME 1,500gr Sol.Inj. Bt 5Amp/5ml;injection;7
GLUCONATE DE CALCIUM 10% Amp.Buv. Bt 100/10ml;GLUCONATE DE CALCIUM 10% Amp.Buv. Bt 100/10ml;sirop;7
GLUCONATE DE CALCIUM PROAMP 10% Sol.Inj. Bt 50Amp/10ml;GLUCONATE DE CALCIUM PROAMP 10% Sol.Inj. Bt 50Amp/10ml;injection;7
GLUCOPHAGE 1000mg Comp.Pell. Bt 60;GLUCOPHAGE 1000mg Comp.Pell. Bt 60;comprime;7
GLUCOPHAGE RETARD 850mg Comp.Enr. Bt 60;GLUCOPHAGE RETARD 850mg Comp.Enr. Bt 60;comprime;7
GLUCOR 100mg Comp. Bt 90;GLUCOR 100mg Comp. Bt 90;comprime;7
GLUCOR 50mg Comp. Bt 90;GLUCOR 50mg Comp. Bt 90;comprime;7
GLUCOSE  5% Sol. Inj.P.Perf. Poche en PVC 500ml;GLUCOSE  5% Sol. Inj.P.Perf. Poche en PVC 500ml;injection;7
GLUCOSE 10% Sol.Inj. Fl 500ml;GLUCOSE 10% Sol.Inj. Fl 500ml;injection;7
GLUCOSE 10% Sol.Inj..P.Perf. Poche  en PVC 500ml;GLUCOSE 10% Sol.Inj..P.Perf. Poche  en PVC 500ml;injection;7
GLUCOSE 30% PROAMP Sol.P. Perf. Bt  50/10ml;GLUCOSE 30% PROAMP Sol.P. Perf. Bt  50/10ml;autre;7
GLUCOSE 30% Sol.Inj. Fl 500ml;GLUCOSE 30% Sol.Inj. Fl 500ml;injection;7
GLUCOSE 5%  Sol.Inj.P.Perf. P 500ml;GLUCOSE 5%  Sol.Inj.P.Perf. P 500ml;injection;7
GLUCOSE 5% Sol. Inj.P.Perf. Poche   en PVC 250ml;GLUCOSE 5% Sol. Inj.P.Perf. Poche   en PVC 250ml;injection;7
GLUCOSE 5% Sol.P.Perf. Fl 250ml;GLUCOSE 5% Sol.P.Perf. Fl 250ml;autre;7
GLUCOSE 5% UNIMED 5% Sol.Inj.P.Perf. Poche multicouche/500ml;GLUCOSE 5% UNIMED 5% Sol.Inj.P.Perf. Poche multicouche/500ml;injection;7
GLUCOSE A 30% INFOMED 30% Sol.Inj.P.Perf. Poche 500ml;GLUCOSE A 30% INFOMED 30% Sol.Inj.P.Perf. Poche 500ml;injection;7
GLUCOVANCE 500mg/5mg Comp.Pell. Bt 30;GLUCOVANCE 500mg/5mg Comp.Pell. Bt 30;comprime;7
GLUFIX 100mg Comp. Bt 90;GLUFIX 100mg Comp. Bt 90;comprime;7
GLUFIX 50mg Comp. Bt 90;GLUFIX 50mg Comp. Bt 90;comprime;7
GLURENOR Comp Enr.30mg Bt 40;GLURENOR Comp Enr.30mg Bt 40;comprime;7
GLYCARBOSE 100mg Comp.Séc. Bt 90;GLYCARBOSE 100mg Comp.Séc. Bt 90;comprime;7
GLYCARBOSE 50mg Comp. Bt 90;GLYCARBOSE 50mg Comp. Bt 90;comprime;7
GLYCINE 1,5% Sol.inj. Poche 3 Litres;GLYCINE 1,5% Sol.inj. Poche 3 Litres;injection;7
GLYSS Ad. Suppo. Bt 10;GLYSS Ad. Suppo. Bt 10;suppositoire;7
GLYSS ENFANT Suppo. Bt 10;GLYSS ENFANT Suppo. Bt 10;suppositoire;7
GLYSS NOURRISSONS Suppo. Bt 10;GLYSS NOURRISSONS Suppo. Bt 10;suppositoire;7
GOLDIX DUO Sirop Bt 12 Sachets-dose/15ml;GOLDIX DUO Sirop Bt 12 Sachets-dose/15ml;sirop;7
GOLDIX JOUR Sirop Bt 12 Sachtes;GOLDIX JOUR Sirop Bt 12 Sachtes;sirop;7
GOLDIX JOUR Sirop Fl 150ml;GOLDIX JOUR Sirop Fl 150ml;sirop;7
GOLDIX NUIT Sirop Bt 12 Sachets;GOLDIX NUIT Sirop Bt 12 Sachets;sirop;7
GOLDIX NUIT Sirop Fl 90 ml;GOLDIX NUIT Sirop Fl 90 ml;sirop;7
GOLDIX Pde. Derm. Pot 50gr;GOLDIX Pde. Derm. Pot 50gr;pommade;7
GONAL-F 75UI(5.5mcg)Pdre.P.Prép.Inj. Bt 1Fl Lyoph+ Ser.Solv/1ml+2aig (F);GONAL-F 75UI(5.5mcg)Pdre.P.Prép.Inj. Bt 1Fl Lyoph+ Ser.Solv/1ml+2aig (F);injection;7
GONAPEPTYL 3.75mg Pdre.P.Prép.Inj. Bt 1Ser.Pré-remplie/1ml+Solv/1ml (F);GONAPEPTYL 3.75mg Pdre.P.Prép.Inj. Bt 1Ser.Pré-remplie/1ml+Solv/1ml (F);injection;7
Gouttes Homéopathiques Unitaires MG Fl 125ml;Gouttes Homéopathiques Unitaires MG Fl 125ml;autre;7
Gouttes Homéopathiques Unitaires TM Fl 125ml;Gouttes Homéopathiques Unitaires TM Fl 125ml;autre;7
GRANOCYTE 34Mui/ml Pdre. Prép. Inj. Bt 5 Fl +S/1ml;GRANOCYTE 34Mui/ml Pdre. Prép. Inj. Bt 5 Fl +S/1ml;injection;7
Granules Homéopathiques Unitaires Tb Dose;Granules Homéopathiques Unitaires Tb Dose;autre;7
Granules Homéopathiques Unitaires Tube;Granules Homéopathiques Unitaires Tube;autre;7
GRIPEX Ad. Pdre.P.Sol.Or. Bt 8 sachets;GRIPEX Ad. Pdre.P.Sol.Or. Bt 8 sachets;poudre;7
GRIPEX Ad. Pdre.Sol.Or. Sach. Bt 12;GRIPEX Ad. Pdre.Sol.Or. Sach. Bt 12;poudre;7
GRIPEX Enf Pdre. Sol. Or. Bt 8 sachets;GRIPEX Enf Pdre. Sol. Or. Bt 8 sachets;poudre;7
GRIPEX Enf. Pdre.Sol.Or. Sach. Bt 12;GRIPEX Enf. Pdre.Sol.Or. Sach. Bt 12;poudre;7
GRIPEX Sans Sucre Ad. Pdre.P.Sol.Or. Bt 8 Sachets;GRIPEX Sans Sucre Ad. Pdre.P.Sol.Or. Bt 8 Sachets;poudre;7
GRIPEX Sans Sucre Ad. Pdre.P.Sol.Or. Sach. Bt 12;GRIPEX Sans Sucre Ad. Pdre.P.Sol.Or. Sach. Bt 12;poudre;7
GRISEOFULVINE  250mg Comp. Bt 500;GRISEOFULVINE  250mg Comp. Bt 500;comprime;7
GRISEOFULVINE 250mg Comp. Enr. Bt 30;GRISEOFULVINE 250mg Comp. Enr. Bt 30;comprime;7
GYNERGENE CAFEINE 1mg Comp. Bt 20;GYNERGENE CAFEINE 1mg Comp. Bt 20;comprime;7
GYNO-PEROZYL 150mg Ovule Bt 3;GYNO-PEROZYL 150mg Ovule Bt 3;autre;7
GYNOTRIL 2.5mg Comp. Pell. Bt 30;GYNOTRIL 2.5mg Comp. Pell. Bt 30;comprime;7
HAEMOCOMPLETTAN P 1gr Pdre.P.Susp.Inj. Bt 1Fl;HAEMOCOMPLETTAN P 1gr Pdre.P.Susp.Inj. Bt 1Fl;injection;7
HALDOL 1mg Comp. Bt 40;HALDOL 1mg Comp. Bt 40;comprime;7
HALDOL 2PM Gtte.Buv. 2mg/ml Fl 15ml;HALDOL 2PM Gtte.Buv. 2mg/ml Fl 15ml;sirop;7
HALDOL 5mg Sol. Inj. Bt 5/1ml;HALDOL 5mg Sol. Inj. Bt 5/1ml;injection;7
HALDOL 5mg Sol.Inj. Bt 5/1ml;HALDOL 5mg Sol.Inj. Bt 5/1ml;injection;7
HALDOL DECANOAS 50mg Susp.Inj. Bt 1/1ml;HALDOL DECANOAS 50mg Susp.Inj. Bt 1/1ml;injection;7
HALDOL DECANOAS 50mg Susp.Inj.B/5/1ml;HALDOL DECANOAS 50mg Susp.Inj.B/5/1ml;injection;7
HALIDOL 2mg/ml Gttes.Buv. Fl 30ml;HALIDOL 2mg/ml Gttes.Buv. Fl 30ml;sirop;7
HALIDOL 5mg Comp. Bt 30;HALIDOL 5mg Comp. Bt 30;comprime;7
HALOTHANE BP 100% v/v Sol. P. Inh. Fl 250ml;HALOTHANE BP 100% v/v Sol. P. Inh. Fl 250ml;autre;7
HARMONET Comp.Enr. Bt 21;HARMONET Comp.Enr. Bt 21;comprime;7
HAVRIX 720 Pédiatrique Susp.Inj. Bt 1Ser./1Dose (F);HAVRIX 720 Pédiatrique Susp.Inj. Bt 1Ser./1Dose (F);injection;7
HEALON 10mg/ml Sol.Intra-oculaire Bt 1 Ser./0.85ml (F);HEALON 10mg/ml Sol.Intra-oculaire Bt 1 Ser./0.85ml (F);autre;7
HEALON GV 14mg/ml Sol intra-Ocu Ser/0,85ml (F);HEALON GV 14mg/ml Sol intra-Ocu Ser/0,85ml (F);autre;7
HEBERKINASE Inj 1500000 Bt 1Fl (F);HEBERKINASE Inj 1500000 Bt 1Fl (F);injection;7
HELMINTOX 250mg Comp séc. Bt 3;HELMINTOX 250mg Comp séc. Bt 3;comprime;7
HELMINTOX 250mg Comp. Séc. Bt 3;HELMINTOX 250mg Comp. Séc. Bt 3;comprime;7
HELMINTOX Susp Orale 125mg/2,5ml Fl 15ml;HELMINTOX Susp Orale 125mg/2,5ml Fl 15ml;autre;7
HEMACTEROL 6mg/10ml Amp.Buv. Bt 20/10ml;HEMACTEROL 6mg/10ml Amp.Buv. Bt 20/10ml;sirop;7
HEMI-DAONIL Comp 2,5mg Bt 60;HEMI-DAONIL Comp 2,5mg Bt 60;comprime;7
HEPARINE MEDIS 25000 UI Sol.Inj Bt 10/5ml;HEPARINE MEDIS 25000 UI Sol.Inj Bt 10/5ml;injection;7
HEPATITIS-B (rDNA) AD. 20µg Susp.Inj. Bt 1Fl/1Dose/1ml(F);HEPATITIS-B (rDNA) AD. 20µg Susp.Inj. Bt 1Fl/1Dose/1ml(F);injection;7
HEPATITIS-B (rDNA) Ped. 10µg Susp.Inj. Bt 1Fl/1Dose/0.5ml (F);HEPATITIS-B (rDNA) Ped. 10µg Susp.Inj. Bt 1Fl/1Dose/0.5ml (F);injection;7
HEPATITIS-B (rDNA) PED. 10µg Susp.Inj. Bt 50Fl/1Dose/1ml(F);HEPATITIS-B (rDNA) PED. 10µg Susp.Inj. Bt 50Fl/1Dose/1ml(F);injection;7
HEPT A MYL Comp 187.8 MG Bt 20;HEPT A MYL Comp 187.8 MG Bt 20;comprime;7
HEPT-A-MYL Gtte. Buv. Fl 20ml;HEPT-A-MYL Gtte. Buv. Fl 20ml;sirop;7
HEPT-A-MYL Gttes.Buv. Fl 20ml;HEPT-A-MYL Gttes.Buv. Fl 20ml;sirop;7
HEPTAMYL 187.8mg Comp. Bt 20;HEPTAMYL 187.8mg Comp. Bt 20;comprime;7
HERCEPTIN 150mg Pdre.Prép.Inj Bt 1Fl (F);HERCEPTIN 150mg Pdre.Prép.Inj Bt 1Fl (F);poudre;7
HERTRAZ 150mg Pdre. P. Prép. Inj. Bt 1Fl De Lyoph. + 1Fl De Solv. (F);HERTRAZ 150mg Pdre. P. Prép. Inj. Bt 1Fl De Lyoph. + 1Fl De Solv. (F);injection;7
HEXABAIN 1mg Sol. Bucc. Fl 200ml;HEXABAIN 1mg Sol. Bucc. Fl 200ml;autre;7
HEXASPRAY 0,75% Collutoire Fl 30gr;HEXASPRAY 0,75% Collutoire Fl 30gr;autre;7
HEXAXIM Susp. Inj. Bt 1Ser Pré-remplie /0.5ml (F);HEXAXIM Susp. Inj. Bt 1Ser Pré-remplie /0.5ml (F);injection;7
HEXIDENT 0.2% Soluté Buccal Fl 125ml;HEXIDENT 0.2% Soluté Buccal Fl 125ml;autre;7
HEXOMEDINE Sol.Ext. Fl 250ml;HEXOMEDINE Sol.Ext. Fl 250ml;autre;7
HHT 4 UI Pdre.Prép.Inj. Fl+Seringue+2aig.Tampon.alc. (F);HHT 4 UI Pdre.Prép.Inj. Fl+Seringue+2aig.Tampon.alc. (F);injection;7
HISTADINE 0,1% Sirop Fl 60ml;HISTADINE 0,1% Sirop Fl 60ml;sirop;7
HISTADINE 10mg Comp. Bt 15;HISTADINE 10mg Comp. Bt 15;comprime;7
HISTAM 0.5mg/ml Sol.Buv. Fl 150ml;HISTAM 0.5mg/ml Sol.Buv. Fl 150ml;sirop;7
HISTAM 5mg Comp.Pell. Bt 15;HISTAM 5mg Comp.Pell. Bt 15;comprime;7
HISTAM 5mg Comp.Pell. Bt 30;HISTAM 5mg Comp.Pell. Bt 30;comprime;7
HOLOXAN 1g Pdre pour Prep Inj Bt 1 Fl;HOLOXAN 1g Pdre pour Prep Inj Bt 1 Fl;poudre;7
HOMEOGENE 9 Comp. Bt 60;HOMEOGENE 9 Comp. Bt 60;comprime;7
HOMEOPLASMINE Pde.Derm. Tb 18gr;HOMEOPLASMINE Pde.Derm. Tb 18gr;pommade;7
HOMEOVOX Comp.Drag. Bt 60;HOMEOVOX Comp.Drag. Bt 60;comprime;7
HUMIRA 40mg Sol.Inj. Bt 2Ser./0.8ml (F);HUMIRA 40mg Sol.Inj. Bt 2Ser./0.8ml (F);injection;7
HUMOXAT 20mg Comp.Pell.Séc. Bt 28;HUMOXAT 20mg Comp.Pell.Séc. Bt 28;comprime;7
HUMOXAT 20mg Comp.Pell.Séc. Bt 30;HUMOXAT 20mg Comp.Pell.Séc. Bt 30;comprime;7
HUMOXAT 20mg Comp.Pell.Séc. Bt 60;HUMOXAT 20mg Comp.Pell.Séc. Bt 60;comprime;7
HYALGAN 20mg/2ml Sol.Inj. Fl 2ml (F);HYALGAN 20mg/2ml Sol.Inj. Fl 2ml (F);injection;7
HYALUBRIX 60mg/4ml Sol.Inj. Bt 1Ser. Pré-Remp./4ml (F);HYALUBRIX 60mg/4ml Sol.Inj. Bt 1Ser. Pré-Remp./4ml (F);injection;7
HYDROCORTISONE MEDIS 100mg Pdre. P. Prép. Inj. Bt 1Fl +Solv./2ml;HYDROCORTISONE MEDIS 100mg Pdre. P. Prép. Inj. Bt 1Fl +Solv./2ml;injection;7
HYDROCORTISONE MEDIS 100mg Pdre.Prép.Inj. Bt 10Fl;HYDROCORTISONE MEDIS 100mg Pdre.Prép.Inj. Bt 10Fl;injection;7
HYDROSOL POLYVITAMINE PHARMADEVELOPPEMENT Sol.Buv. Fl 20ml;HYDROSOL POLYVITAMINE PHARMADEVELOPPEMENT Sol.Buv. Fl 20ml;sirop;7
HYDROXOCOBALAMINE 10000 Sol. Inj. Bt 4/2ml;HYDROXOCOBALAMINE 10000 Sol. Inj. Bt 4/2ml;injection;7
HYDROXOCOBALAMINE 20000 Sol.Inj. Bt 4/2ml;HYDROXOCOBALAMINE 20000 Sol.Inj. Bt 4/2ml;injection;7
HYDROXOCOBALAMINE 5000 Sol. Inj.  Bt 4/2ml;HYDROXOCOBALAMINE 5000 Sol. Inj.  Bt 4/2ml;injection;7
HYMOFER 34mg/5ml Sirop Fl 125ml;HYMOFER 34mg/5ml Sirop Fl 125ml;sirop;7
HYMOFER 34mg/5ml Sirop Fl 250ml;HYMOFER 34mg/5ml Sirop Fl 250ml;sirop;7
HYPNOMIDATE 2mg/ml Sol.Inj. Bt 5Amp/10ml;HYPNOMIDATE 2mg/ml Sol.Inj. Bt 5Amp/10ml;injection;7
HYPOLIP 160mg Comp.Enr.Séc. Bt 30;HYPOLIP 160mg Comp.Enr.Séc. Bt 30;comprime;7
HYPOLIP 200mg Gél. Bt 30;HYPOLIP 200mg Gél. Bt 30;gelule;7
HYPOTEN 100mg Comp.Pell.Séc. Bt 30;HYPOTEN 100mg Comp.Pell.Séc. Bt 30;comprime;7
HYPOTEN 100mg Comp.Séc. Bt 30;HYPOTEN 100mg Comp.Séc. Bt 30;comprime;7
HYPOTEN 25mg Comp pell. Bt 30;HYPOTEN 25mg Comp pell. Bt 30;comprime;7
HYPOTEN 50mg Comp.Pell.Séc. Bt 30;HYPOTEN 50mg Comp.Pell.Séc. Bt 30;comprime;7
HYPOTENSYL 25mg Comp.Séc. Bt 30;HYPOTENSYL 25mg Comp.Séc. Bt 30;comprime;7
HYPOTENSYL 50mg Comp.Séc. Bt 30;HYPOTENSYL 50mg Comp.Séc. Bt 30;comprime;7
HYPRIL 20mg/12.5mg Comp. Séc. Bt 60;HYPRIL 20mg/12.5mg Comp. Séc. Bt 60;comprime;7
HYPRIL 20mg/12.5mg Comp.Séc. Bt 28;HYPRIL 20mg/12.5mg Comp.Séc. Bt 28;comprime;7
HYTACAND 16mg/12,5mg Comp. Bt 30;HYTACAND 16mg/12,5mg Comp. Bt 30;comprime;7
HYTACAND 8mg/12,5mg Comp Bt 30;HYTACAND 8mg/12,5mg Comp Bt 30;comprime;7
IBUCARE 200 200mg Comp.Pell. Bt 20;IBUCARE 200 200mg Comp.Pell. Bt 20;comprime;7
IBUCARE 400 400mg Comp.Pell. Bt 20;IBUCARE 400 400mg Comp.Pell. Bt 20;comprime;7
IBUCARE 600 600mg Comp.Pell. Bt 20;IBUCARE 600 600mg Comp.Pell. Bt 20;comprime;7
IBUPHIL 125 125mg Suppo. Bt 10;IBUPHIL 125 125mg Suppo. Bt 10;suppositoire;7
IBUPHIL 400mg Comp. Bt 20;IBUPHIL 400mg Comp. Bt 20;comprime;7
IBUPHIL 600mg Comp. Bt 20;IBUPHIL 600mg Comp. Bt 20;comprime;7
IBUPHIL COLD 200/30 Comp.Pell. Bt 15;IBUPHIL COLD 200/30 Comp.Pell. Bt 15;comprime;7
IBUPHIL COLD 400/60 Comp.Pell. Bt 15;IBUPHIL COLD 400/60 Comp.Pell. Bt 15;comprime;7
IBUPHIL Enf-Nour 100mg/5ml Susp.Buv. Fl 125ml;IBUPHIL Enf-Nour 100mg/5ml Susp.Buv. Fl 125ml;sirop;7
IBUPHIL GEL 5% Gel Derm. Tb 50gr;IBUPHIL GEL 5% Gel Derm. Tb 50gr;gel;7
IBUPHIL GEL Mentholé 5% Gel Derm. Tb 50gr;IBUPHIL GEL Mentholé 5% Gel Derm. Tb 50gr;gel;7
IBUPRANE 200mg Comp.Pell. Bt 20;IBUPRANE 200mg Comp.Pell. Bt 20;comprime;7
IBUPRANE 400mg Comp.Pell. Bt 20;IBUPRANE 400mg Comp.Pell. Bt 20;comprime;7
IBURHUME FORT 400mg/60mg Comp.Pell. Bt 10;IBURHUME FORT 400mg/60mg Comp.Pell. Bt 10;comprime;7
ICAZ 2.5mg Gél. LP Bt 30;ICAZ 2.5mg Gél. LP Bt 30;gelule;7
ICAZ 5mg Gél. LP Bt 30;ICAZ 5mg Gél. LP Bt 30;gelule;7
IDIUM 2mg Gél. Bt 20;IDIUM 2mg Gél. Bt 20;gelule;7
Ig VENA 5gr Sol. Perf. Fl 100ml (F);Ig VENA 5gr Sol. Perf. Fl 100ml (F);autre;7
ILAX 10gr Pdre. Sol. Or. Bt 20 Sachets;ILAX 10gr Pdre. Sol. Or. Bt 20 Sachets;poudre;7
ILAX 4gr Pdre. Sol. Or. Bt 20 Sachets;ILAX 4gr Pdre. Sol. Or. Bt 20 Sachets;poudre;7
ILOMEDINE 0.05mg Sol.Inj.Perf. Bt 5 Amp/0.5ml;ILOMEDINE 0.05mg Sol.Inj.Perf. Bt 5 Amp/0.5ml;injection;7
IMATINIB OPALIA 100mg Gél. Bt 30;IMATINIB OPALIA 100mg Gél. Bt 30;gelule;7
IMATINIB OPALIA 400mg Gél. Bt 30;IMATINIB OPALIA 400mg Gél. Bt 30;gelule;7
IMBRUVICA 140mg Gél. Fl 90;IMBRUVICA 140mg Gél. Fl 90;gelule;7
IMIGRAN 50mg Comp.Pell. Bt 2;IMIGRAN 50mg Comp.Pell. Bt 2;comprime;7
IMMUNATE 250UI Pdre.P.Prép.Inj. 1Fl +Sol/5ml+ Kit de Perfusin (F);IMMUNATE 250UI Pdre.P.Prép.Inj. 1Fl +Sol/5ml+ Kit de Perfusin (F);injection;7
IMMUNATE 500UI Pdre.Prép.Inj. Bt 1Fl Pdre+1Fl Solv./5ml+ Kit d'administration (F);IMMUNATE 500UI Pdre.Prép.Inj. Bt 1Fl Pdre+1Fl Solv./5ml+ Kit d'administration (F);injection;7
IMMUNO HBS 180UI/ml Sol.Inj. Bt 1 Fl/1ml (F);IMMUNO HBS 180UI/ml Sol.Inj. Bt 1 Fl/1ml (F);injection;7
IMMUNO HBS 540UI Sol.Inj. Bt 1Fl/ 3ml (F);IMMUNO HBS 540UI Sol.Inj. Bt 1Fl/ 3ml (F);injection;7
IMMUNORHO 300µg (1500UI) Pdre.P.Prép.Inj. Bt 1Fl Pdre +1Amp./ Solv.;IMMUNORHO 300µg (1500UI) Pdre.P.Prép.Inj. Bt 1Fl Pdre +1Amp./ Solv.;injection;7
IMMUPRY 100 100mg/ml Sol.Buv. Fl 50ml;IMMUPRY 100 100mg/ml Sol.Buv. Fl 50ml;sirop;7
IMUREL 50mg Comp.Pell. Bt 100;IMUREL 50mg Comp.Pell. Bt 100;comprime;7
INDOCINE 100mg Suppo. Bt 10;INDOCINE 100mg Suppo. Bt 10;suppositoire;7
INDOCINE 100mg Suppo. Bt 100;INDOCINE 100mg Suppo. Bt 100;suppositoire;7
INDOCINE 50mg Suppo. Bt 10;INDOCINE 50mg Suppo. Bt 10;suppositoire;7
INDOCINE 50mg Suppo. Bt 100;INDOCINE 50mg Suppo. Bt 100;suppositoire;7
INDOCOLLYRE 0,1% Collyre Fl 5ml;INDOCOLLYRE 0,1% Collyre Fl 5ml;gouttes;7
INDOCOLLYRE 0.1% Collyre Bt 20 Récipients Unidoses /0.35ml;INDOCOLLYRE 0.1% Collyre Bt 20 Récipients Unidoses /0.35ml;gouttes;7
INDOMETACINE IPS 100mg Suppo. Bt 10;INDOMETACINE IPS 100mg Suppo. Bt 10;suppositoire;7
INDOMETACINE IPS 50mg Suppo. Bt 10;INDOMETACINE IPS 50mg Suppo. Bt 10;suppositoire;7
INDOPAL 100mg Suppo. Bt 10;INDOPAL 100mg Suppo. Bt 10;suppositoire;7
INDOPAL 100mg Suppo. Bt 100;INDOPAL 100mg Suppo. Bt 100;suppositoire;7
INDOPAL 50mg Suppo. Bt 10;INDOPAL 50mg Suppo. Bt 10;suppositoire;7
INEXIUM 20mg Comp.Gastro-Résistant Bt 14;INEXIUM 20mg Comp.Gastro-Résistant Bt 14;comprime;7
INEXIUM 20mg Comp.Gastro-Résistant Bt 7;INEXIUM 20mg Comp.Gastro-Résistant Bt 7;comprime;7
INEXIUM 40mg Comp. Gastro-Résistant Bt 14;INEXIUM 40mg Comp. Gastro-Résistant Bt 14;comprime;7
INFLACED 20mg Gél. Bt 15;INFLACED 20mg Gél. Bt 15;gelule;7
INFLACOX 200mg Gél. Bt 10;INFLACOX 200mg Gél. Bt 10;gelule;7
INFLACOX 200mg Gél. Bt 20;INFLACOX 200mg Gél. Bt 20;gelule;7
INFLAGAM 200mg Comp.Séc. Bt 20;INFLAGAM 200mg Comp.Séc. Bt 20;comprime;7
INFLAMYL 250mg Gél. Bt 20;INFLAMYL 250mg Gél. Bt 20;gelule;7
INFLAMYL 50mg/5ml Susp.Buv. Fl 150ml;INFLAMYL 50mg/5ml Susp.Buv. Fl 150ml;sirop;7
INFLAMYL FORT 500mg Comp.Séc. Bt 20;INFLAMYL FORT 500mg Comp.Séc. Bt 20;comprime;7
INFLOCINE 2.5% Gel Derm. Tb 60gr;INFLOCINE 2.5% Gel Derm. Tb 60gr;gel;7
INFLOCINE 3% Pde Derm. Tb 60gr;INFLOCINE 3% Pde Derm. Tb 60gr;pommade;7
INFLOCINE 3% Pde.Derm. Tb 60gr;INFLOCINE 3% Pde.Derm. Tb 60gr;pommade;7
INFLOCINE Ad. 700mg Suppo. Bt 8;INFLOCINE Ad. 700mg Suppo. Bt 8;suppositoire;7
INFLOCINE Enf. 400mg Suppo.Séc. Bt 8;INFLOCINE Enf. 400mg Suppo.Séc. Bt 8;suppositoire;7
INFLUVAC Susp.Inj. Bt 1Ser. Pré-Remplie /1Dose (F);INFLUVAC Susp.Inj. Bt 1Ser. Pré-Remplie /1Dose (F);injection;7
INIBREX 200mg Gél. Bt 10;INIBREX 200mg Gél. Bt 10;gelule;7
INIBREX 200mg Gél. Bt 20;INIBREX 200mg Gél. Bt 20;gelule;7
INIBREX 200mg Gél. Bt 30;INIBREX 200mg Gél. Bt 30;gelule;7
INICARD 100 100mg Comp.Pell.Séc. Bt 30;INICARD 100 100mg Comp.Pell.Séc. Bt 30;comprime;7
INICARD 50 50mg Comp.Pell.Séc. Bt 40;INICARD 50 50mg Comp.Pell.Séc. Bt 40;comprime;7
INICARD 50 50mg Comp.Pell.Séc. Bt 500;INICARD 50 50mg Comp.Pell.Séc. Bt 500;comprime;7
INICOX 2 200mg Gél. Bt 10;INICOX 2 200mg Gél. Bt 10;gelule;7
INICOX 2 200mg Gél. Bt 20;INICOX 2 200mg Gél. Bt 20;gelule;7
INICOX 2 200mg Gél. Bt 30;INICOX 2 200mg Gél. Bt 30;gelule;7
INIPRAZOL 15mg Gél. Fl 14;INIPRAZOL 15mg Gél. Fl 14;gelule;7
INIPRAZOL 15mg Gél. Fl 8;INIPRAZOL 15mg Gél. Fl 8;gelule;7
INIPRAZOL 30mg Gél. Bt 30;INIPRAZOL 30mg Gél. Bt 30;gelule;7
INIPRAZOL 30mg Gél. Fl 14;INIPRAZOL 30mg Gél. Fl 14;gelule;7
INIPRAZOL 30mg Gél. Gastro-résist. Bt 300;INIPRAZOL 30mg Gél. Gastro-résist. Bt 300;gelule;7
INNOHEP 10000UI AXa/0.5ml Sol.Inj. Bt 2 Seringues;INNOHEP 10000UI AXa/0.5ml Sol.Inj. Bt 2 Seringues;injection;7
INNOHEP 14000 UI AXa/0,7ml Sol.inj. Bt 2 Seringues;INNOHEP 14000 UI AXa/0,7ml Sol.inj. Bt 2 Seringues;injection;7
INNOHEP 18000 UI Axa/0,9ml Sol inj Bt 2Seringues;INNOHEP 18000 UI Axa/0,9ml Sol inj Bt 2Seringues;injection;7
INNOHEP 18000 UI Axa/0,9ml Sol.inj. Bt 2 Seringues;INNOHEP 18000 UI Axa/0,9ml Sol.inj. Bt 2 Seringues;injection;7
INNOHEP 2500UI AntiXa/0.25ml Sol.Inj. Bt 2 Seringues;INNOHEP 2500UI AntiXa/0.25ml Sol.Inj. Bt 2 Seringues;injection;7
INNOHEP 3500UI antiXa/0,35ml Sol.inj. Bt 2 Seringues;INNOHEP 3500UI antiXa/0,35ml Sol.inj. Bt 2 Seringues;injection;7
INNOHEP 4500UI AntiXa/0,45ml Sol.inj. Bt 2 Seringues;INNOHEP 4500UI AntiXa/0,45ml Sol.inj. Bt 2 Seringues;injection;7
INSULATARD 100UI/ml Susp.Inj. Fl 10ml (F);INSULATARD 100UI/ml Susp.Inj. Fl 10ml (F);injection;7
INSULATARD 100UI/ml Susp.Inj.Fl 10ml (F);INSULATARD 100UI/ml Susp.Inj.Fl 10ml (F);injection;7
INSULATARD PENFILL 100UI/ml Susp. Inj Bt 5/Fl 3ml (F);INSULATARD PENFILL 100UI/ml Susp. Inj Bt 5/Fl 3ml (F);injection;7
INSUMAN BASAL 100UI/ml Susp. Inj. Bt 1Fl/10ml (F);INSUMAN BASAL 100UI/ml Susp. Inj. Bt 1Fl/10ml (F);injection;7
INSUMAN COMB 30 100UI/ml Susp. Inj. Bt 1 Fl/10ml (F);INSUMAN COMB 30 100UI/ml Susp. Inj. Bt 1 Fl/10ml (F);injection;7
INSUMAN RAPID 100UI/ml Sol. Inj. Bt 1Fl/10ml (F);INSUMAN RAPID 100UI/ml Sol. Inj. Bt 1Fl/10ml (F);injection;7
